Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,7.830000,7.960000,6.740000,6.960000,6.952596,7659700
2020-10-29,6.700000,7.050000,6.290000,6.910000,6.902649,4745300
2020-10-30,6.810000,7.120000,6.690000,7.070000,7.062479,3089000
2020-11-02,7.100000,7.390000,6.760000,7.210000,7.202330,4179000
2020-11-03,7.520000,7.900000,7.220000,7.310000,7.302223,4932100
2020-11-04,7.430000,7.480000,6.870000,6.930000,6.922627,5729900
2020-11-05,6.930000,7.550000,6.890000,7.180000,7.172361,3983000
2020-11-06,7.300000,7.350000,6.470000,6.480000,6.473106,3691300
2020-11-09,7.530000,8.570000,7.260000,8.320000,8.311149,7502600
2020-11-10,8.580000,8.580000,7.740000,8.480000,8.470979,3529400
2020-11-11,8.570000,8.610000,7.930000,8.140000,8.131341,2854200
2020-11-12,7.930000,8.050000,7.500000,7.590000,7.581926,3114700
2020-11-13,7.630000,8.280000,7.600000,8.160000,8.151320,5761000
2020-11-16,8.570000,8.940000,8.420000,8.810000,8.800628,2831500
2020-11-17,8.550000,9.250000,8.430000,9.090000,9.080330,2674400
2020-11-18,9.230000,9.830000,9.080000,9.090000,9.080330,3121500
2020-11-19,9.020000,9.460000,8.910000,9.420000,9.409979,2074900
2020-11-20,9.330000,9.590000,9.180000,9.540000,9.529851,2162200
2020-11-23,9.850000,10.780000,9.660000,10.630000,10.618691,4602200
2020-11-24,11.170000,11.780000,11.090000,11.660000,11.647595,3709700
2020-11-25,11.500000,11.680000,10.970000,11.510000,11.497756,4223500
2020-11-27,11.370000,11.550000,10.840000,10.980000,10.968319,1345000
2020-11-30,10.710000,11.080000,10.160000,10.180000,10.169170,2835800
2020-12-01,10.640000,10.790000,10.160000,10.300000,10.289042,1780900
2020-12-02,10.300000,11.220000,10.220000,10.560000,10.548766,2547600
2020-12-03,10.650000,10.900000,10.420000,10.650000,10.638670,2824900
2020-12-04,11.000000,11.800000,11.000000,11.750000,11.737500,3226300
2020-12-07,11.540000,11.930000,11.270000,11.360000,11.347915,2666900
2020-12-08,11.350000,12.030000,11.320000,11.980000,11.967255,3461500
2020-12-09,12.130000,12.560000,11.720000,12.110000,12.097116,3052600
2020-12-10,12.240000,13.560000,12.130000,13.280000,13.265872,3243500
2020-12-11,13.060000,13.310000,12.550000,13.300000,13.285851,2508900
2020-12-14,13.770000,13.840000,12.180000,12.200000,12.187021,3796000
2020-12-15,12.440000,12.600000,11.970000,12.440000,12.426765,2563600
2020-12-16,12.450000,12.540000,11.970000,12.070000,12.057159,2578800
2020-12-17,12.660000,12.920000,12.090000,12.400000,12.386808,3071600
2020-12-18,12.410000,12.670000,11.830000,12.180000,12.167043,7579100
2020-12-21,11.330000,12.130000,11.240000,11.930000,11.917309,2502100
2020-12-22,11.840000,12.120000,11.640000,11.860000,11.847383,2622700
2020-12-23,12.130000,12.820000,12.000000,12.390000,12.376820,2701100
2020-12-24,12.460000,12.460000,11.860000,12.040000,12.027191,1494800
2020-12-28,12.160000,12.340000,11.860000,12.010000,11.997224,3717100
2020-12-29,12.030000,12.250000,11.830000,12.000000,11.987234,1799800
2020-12-30,12.130000,13.120000,12.000000,12.500000,12.486702,3269100
2020-12-31,12.350000,12.450000,11.980000,12.060000,12.047171,2023700
2021-01-04,12.320000,12.780000,12.020000,12.490000,12.476712,2178800
2021-01-05,12.760000,15.110000,12.760000,14.260000,14.244830,4845900
2021-01-06,14.670000,15.350000,14.180000,14.770000,14.754288,3488500
2021-01-07,14.970000,15.790000,14.640000,15.480000,15.463531,3536600
2021-01-08,15.760000,15.820000,15.280000,15.520000,15.503489,3897300
2021-01-11,14.870000,15.890000,14.750000,15.800000,15.783192,1715400
2021-01-12,16.150000,16.549999,15.940000,16.480000,16.462467,1791600
2021-01-13,16.389999,16.500000,15.800000,16.030001,16.012947,4631600
2021-01-14,16.309999,16.709999,16.150000,16.540001,16.522406,1483000
2021-01-15,16.090000,16.490000,15.650000,16.000000,15.982979,2739800
2021-01-19,16.480000,16.690001,16.000000,16.459999,16.442488,1791200
2021-01-20,16.719999,16.940001,16.190001,16.780001,16.762150,2080200
2021-01-21,16.770000,16.820000,14.290000,14.850000,14.834203,4256000
2021-01-22,14.330000,15.170000,13.900000,15.010000,14.994032,2428300
2021-01-25,14.710000,15.890000,14.510000,15.880000,15.863107,2713700
2021-01-26,16.160000,16.430000,15.270000,15.360000,15.343659,2141600
2021-01-27,14.900000,17.540001,14.720000,16.469999,16.452478,5133300
2021-01-28,16.799999,17.090000,15.760000,16.290001,16.272671,2886400
2021-01-29,16.090000,16.930000,14.980000,15.280000,15.263744,2011400
2021-02-01,15.610000,16.280001,15.050000,16.040001,16.022938,2109800
2021-02-02,16.580000,17.129999,16.240000,16.549999,16.532393,1939100
